test_id,run,category,passed,score,failure_class,detail,elapsed_s,assistant_text,tool_calls
tool_calc_01,1,tool_selection,True,1.0,,,28.6569,,"[{""id"": ""LDUDonGKbB7Rzlf1XQrP8ef1TRD6xxvD"", ""type"": ""function"", ""name"": ""calculator"", ""arguments"": {""expression"": ""174 * 93""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""calculator"", ""arguments"": ""{\""expression\"":\""174 * 93\""}""}, ""id"": ""LDUDonGKbB7Rzlf1XQrP8ef1TRD6xxvD""}}]"
tool_weather_01,1,tool_selection,True,1.0,,,3.4656,,"[{""id"": ""artgA1Z5QNlkmjlInlNE74aTEi2XFBfo"", ""type"": ""function"", ""name"": ""get_weather"", ""arguments"": {""city"": ""Helsinki"", ""unit"": ""celsius""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""get_weather"", ""arguments"": ""{\""city\"":\""Helsinki\"",\""unit\"":\""celsius\""}""}, ""id"": ""artgA1Z5QNlkmjlInlNE74aTEi2XFBfo""}}]"
tool_file_01,1,arguments,True,1.0,,,3.0067,,"[{""id"": ""HhxO0jaHvbbPJHI4pr4LkTbKh7cqIG7z"", ""type"": ""function"", ""name"": ""read_file"", ""arguments"": {""path"": ""/tmp/alpha notes.txt""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""read_file"", ""arguments"": ""{\""path\"":\""/tmp/alpha notes.txt\""}""}, ""id"": ""HhxO0jaHvbbPJHI4pr4LkTbKh7cqIG7z""}}]"
tool_bool_01,1,arguments,True,1.0,,,2.9435,,"[{""id"": ""Ev9QOPTPGQQJB6gu8VraM1zofYFXGY51"", ""type"": ""function"", ""name"": ""list_directory"", ""arguments"": {""path"": ""/var/tmp"", ""include_hidden"": true}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""list_directory"", ""arguments"": ""{\""path\"":\""/var/tmp\"",\""include_hidden\"":true}""}, ""id"": ""Ev9QOPTPGQQJB6gu8VraM1zofYFXGY51""}}]"
tool_type_01,1,arguments,True,1.0,,,3.1675,,"[{""id"": ""e00yHKnh76tgvW39ySyy1TRjrPWLkwpN"", ""type"": ""function"", ""name"": ""search_documents"", ""arguments"": {""query"": ""kernel panic"", ""limit"": 5}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""search_documents"", ""arguments"": ""{\""query\"":\""kernel panic\"",\""limit\"":5}""}, ""id"": ""e00yHKnh76tgvW39ySyy1TRjrPWLkwpN""}}]"
tool_disambiguate_01,1,tool_selection,True,1.0,,,3.2072,,"[{""id"": ""BCBPAR8sbnqqce4Jh0bvcOV5GVe5yjsE"", ""type"": ""function"", ""name"": ""list_directory"", ""arguments"": {""path"": ""/srv/reports""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""list_directory"", ""arguments"": ""{\""path\"":\""/srv/reports\""}""}, ""id"": ""BCBPAR8sbnqqce4Jh0bvcOV5GVe5yjsE""}}]"
restraint_01,1,tool_restraint,True,1.0,,,2.9256,The capital of France is Paris.,[]
restraint_02,1,tool_restraint,True,1.0,,,2.9388,TOOL_TEST_OK,[]
restraint_03,1,tool_restraint,True,1.0,,,4.4346,"I can't do that. The only tools available to me are a calculator for arithmetic and a file reader for text files — neither can reboot the moon (or anything else, for that matter). I won't pretend otherwise. If you have a real task those tools can handle, I'm happy to help.",[]
bash_hidden_01,1,shell_bash,False,0.0,wrong_command_for_shell,"Command 'ls -la /tmp' should contain one of ('-a', '--all')",3.2227,,"[{""id"": ""AMazAAEm4bCIsRsMPB1cRgejL9r8DgYX"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""ls -la /tmp""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""ls -la /tmp\""}""}, ""id"": ""AMazAAEm4bCIsRsMPB1cRgejL9r8DgYX""}}]"
bash_env_01,1,shell_bash,True,1.0,,,2.9874,,"[{""id"": ""94qjbefqqhiJyVP6lEOxmdKgMxnVudI8"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""echo \""$HOME\""""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""echo \\\""$HOME\\\""\""}""}, ""id"": ""94qjbefqqhiJyVP6lEOxmdKgMxnVudI8""}}]"
bash_path_01,1,shell_bash,True,1.0,,,2.9565,,"[{""id"": ""0yPNWqHgth6LwSyYdfiyDX1eUrSMZITx"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""cat \""/tmp/my notes/report.txt\""""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""cat \\\""/tmp/my notes/report.txt\\\""\""}""}, ""id"": ""0yPNWqHgth6LwSyYdfiyDX1eUrSMZITx""}}]"
bash_pipe_01,1,shell_bash,True,1.0,,,4.6668,,"[{""id"": ""tL6UZ9P1vzBEApOOa46xAVSDUXhsVodm"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""ps aux | grep [p]ython""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""ps aux | grep [p]ython\""}""}, ""id"": ""tL6UZ9P1vzBEApOOa46xAVSDUXhsVodm""}}]"
ps_hidden_01,1,shell_powershell,True,1.0,,,4.9434,,"[{""id"": ""AenxjYrw8pwNMLWbvl9h3KNNIzZhTAuG"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""powershell"", ""command"": ""Get-ChildItem -Path C:\\Temp -Force""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""powershell\"",\""command\"":\""Get-ChildItem -Path C:\\\\Temp -Force\""}""}, ""id"": ""AenxjYrw8pwNMLWbvl9h3KNNIzZhTAuG""}}]"
ps_env_01,1,shell_powershell,True,1.0,,,3.0957,,"[{""id"": ""nppjmTgNEwsCd4nu9xl1RsXmro01HFOD"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""powershell"", ""command"": ""Write-Output $env:USERPROFILE""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""powershell\"",\""command\"":\""Write-Output $env:USERPROFILE\""}""}, ""id"": ""nppjmTgNEwsCd4nu9xl1RsXmro01HFOD""}}]"
ps_path_01,1,shell_powershell,True,1.0,,,3.458,,"[{""id"": ""C0dpf76NphdJGI1NntgtEL5agjEABpEO"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""powershell"", ""command"": ""Get-Content \""C:\\Program Files\\Acme\\notes.txt\""""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""powershell\"",\""command\"":\""Get-Content \\\""C:\\\\Program Files\\\\Acme\\\\notes.txt\\\""\""}""}, ""id"": ""C0dpf76NphdJGI1NntgtEL5agjEABpEO""}}]"
ps_filter_01,1,shell_powershell,True,1.0,,,4.0029,,"[{""id"": ""Quw5RTnv2SZvUuUyeyp02JOVMHsD2t8K"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""powershell"", ""command"": ""Get-Process | Where-Object { $_.ProcessName -like \""*python*\"" } | Format-Table Id, ProcessName, CPU, WorkingSet -AutoSize""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""powershell\"",\""command\"":\""Get-Process | Where-Object { $_.ProcessName -like \\\""*python*\\\"" } | Format-Table Id, ProcessName, CPU, WorkingSet -AutoSize\""}""}, ""id"": ""Quw5RTnv2SZvUuUyeyp02JOVMHsD2t8K""}}]"
cmd_hidden_01,1,shell_cmd,True,1.0,,,3.5861,,"[{""id"": ""htSbJl3gQhoDl54xYKSqVgqpFZW3WHJO"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""cmd"", ""command"": ""dir /a C:\\Temp""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""cmd\"",\""command\"":\""dir /a C:\\\\Temp\""}""}, ""id"": ""htSbJl3gQhoDl54xYKSqVgqpFZW3WHJO""}}]"
cmd_env_01,1,shell_cmd,True,1.0,,,2.9854,,"[{""id"": ""YXBt7eFayYepB8hRUANDlX10k168XFNW"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""cmd"", ""command"": ""echo %USERPROFILE%""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""cmd\"",\""command\"":\""echo %USERPROFILE%\""}""}, ""id"": ""YXBt7eFayYepB8hRUANDlX10k168XFNW""}}]"
cmd_path_01,1,shell_cmd,True,1.0,,,3.5039,,"[{""id"": ""Mes0wAvxqiX72HD6Zyuvgyv85GYVzXmb"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""cmd"", ""command"": ""type \""C:\\Program Files\\Acme\\notes.txt\""""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""cmd\"",\""command\"":\""type \\\""C:\\\\Program Files\\\\Acme\\\\notes.txt\\\""\""}""}, ""id"": ""Mes0wAvxqiX72HD6Zyuvgyv85GYVzXmb""}}]"
cmd_filter_01,1,shell_cmd,True,1.0,,,3.7409,,"[{""id"": ""I77FNWGVrv1uDHAFIJlX5xToUMrA04vd"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""cmd"", ""command"": ""tasklist | findstr /i python""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""cmd\"",\""command\"":\""tasklist | findstr /i python\""}""}, ""id"": ""I77FNWGVrv1uDHAFIJlX5xToUMrA04vd""}}]"
shell_switch_01,1,shell_identification,True,1.0,,,3.4094,,"[{""id"": ""oUpl3ttnzDJSXDv7Ky6BKQ2y3qPiDr1T"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""echo $HOME""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""echo $HOME\""}""}, ""id"": ""oUpl3ttnzDJSXDv7Ky6BKQ2y3qPiDr1T""}}]"
shell_switch_02,1,shell_identification,True,1.0,,,3.0761,,"[{""id"": ""HtUzMm39pwuRy4PrDR8mftcwrjAn5Q4E"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""powershell"", ""command"": ""Write-Output $env:PATH""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""powershell\"",\""command\"":\""Write-Output $env:PATH\""}""}, ""id"": ""HtUzMm39pwuRy4PrDR8mftcwrjAn5Q4E""}}]"
