test_id,run,category,passed,score,failure_class,detail,elapsed_s,assistant_text,tool_calls
tool_calc_01,1,tool_selection,True,1.0,,,14.1903,,"[{""id"": ""Gjs1D6UeWbS24KOviuCajYJqzw6dLMas"", ""type"": ""function"", ""name"": ""calculator"", ""arguments"": {""expression"": ""174 * 93""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""calculator"", ""arguments"": ""{\""expression\"":\""174 * 93\""}""}, ""id"": ""Gjs1D6UeWbS24KOviuCajYJqzw6dLMas""}}]"
tool_weather_01,1,tool_selection,True,1.0,,,4.5196,,"[{""id"": ""JOv8QMc8UNXmd2zaaZV6zYvIv1DDSNoP"", ""type"": ""function"", ""name"": ""get_weather"", ""arguments"": {""city"": ""Helsinki"", ""unit"": ""celsius""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""get_weather"", ""arguments"": ""{\""city\"":\""Helsinki\"",\""unit\"":\""celsius\""}""}, ""id"": ""JOv8QMc8UNXmd2zaaZV6zYvIv1DDSNoP""}}]"
tool_file_01,1,arguments,True,1.0,,,3.1887,,"[{""id"": ""OfXZu3k9v7nkK8OSsizOfUUUiI4YDnvK"", ""type"": ""function"", ""name"": ""read_file"", ""arguments"": {""path"": ""/tmp/alpha notes.txt""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""read_file"", ""arguments"": ""{\""path\"":\""/tmp/alpha notes.txt\""}""}, ""id"": ""OfXZu3k9v7nkK8OSsizOfUUUiI4YDnvK""}}]"
tool_bool_01,1,arguments,True,1.0,,,3.0717,,"[{""id"": ""7qbFKBpox4RPkV6Eni8EFvHP2O5BZmyg"", ""type"": ""function"", ""name"": ""list_directory"", ""arguments"": {""path"": ""/var/tmp"", ""include_hidden"": true}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""list_directory"", ""arguments"": ""{\""path\"":\""/var/tmp\"",\""include_hidden\"":true}""}, ""id"": ""7qbFKBpox4RPkV6Eni8EFvHP2O5BZmyg""}}]"
tool_type_01,1,arguments,True,1.0,,,3.3218,,"[{""id"": ""kMeZNZ0RxcTaKbUXXA3hSLv2KFmE7uJq"", ""type"": ""function"", ""name"": ""search_documents"", ""arguments"": {""query"": ""kernel panic"", ""limit"": 5}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""search_documents"", ""arguments"": ""{\""query\"":\""kernel panic\"",\""limit\"":5}""}, ""id"": ""kMeZNZ0RxcTaKbUXXA3hSLv2KFmE7uJq""}}]"
tool_disambiguate_01,1,tool_selection,True,1.0,,,3.8514,,"[{""id"": ""P8uv4se3ugjKt3OyR7MjE0RoQ2Z7an67"", ""type"": ""function"", ""name"": ""list_directory"", ""arguments"": {""path"": ""/srv/reports""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""list_directory"", ""arguments"": ""{\""path\"":\""/srv/reports\""}""}, ""id"": ""P8uv4se3ugjKt3OyR7MjE0RoQ2Z7an67""}}]"
restraint_01,1,tool_restraint,True,1.0,,,3.2789,The capital of France is Paris.,[]
restraint_02,1,tool_restraint,True,1.0,,,3.8984,TOOL_TEST_OK,[]
restraint_03,1,tool_restraint,True,1.0,,,5.1548,"I can't reboot the moon. I don't have any tools that can interact with celestial bodies, and rebooting the moon isn't a possible operation. The tools available to me are a calculator and a file reader.
",[]
bash_hidden_01,1,shell_bash,False,0.0,wrong_command_for_shell,"Command 'ls -la /tmp' should contain one of ('-a', '--all')",3.8543,,"[{""id"": ""B9XIyuNSlczc9ViEGjnRrZ1mVFz730ab"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""ls -la /tmp""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""ls -la /tmp\""}""}, ""id"": ""B9XIyuNSlczc9ViEGjnRrZ1mVFz730ab""}}]"
bash_env_01,1,shell_bash,True,1.0,,,4.1687,,"[{""id"": ""SHChfYke7avmtgNj7lrEPAsvYRATMuSw"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""echo \""$HOME\""""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""echo \\\""$HOME\\\""\""}""}, ""id"": ""SHChfYke7avmtgNj7lrEPAsvYRATMuSw""}}]"
bash_path_01,1,shell_bash,True,1.0,,,4.5501,,"[{""id"": ""J9cmfGXqZGHNVSyr7VRcpE2Yuhjt7uyw"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""cat \""/tmp/my notes/report.txt\""""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""cat \\\""/tmp/my notes/report.txt\\\""\""}""}, ""id"": ""J9cmfGXqZGHNVSyr7VRcpE2Yuhjt7uyw""}}]"
bash_pipe_01,1,shell_bash,True,1.0,,,4.5269,,"[{""id"": ""y8Ammk2znwhZm60NyeyQM1jmsHxtB8oZ"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""bash"", ""command"": ""ps aux | grep python""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""bash\"",\""command\"":\""ps aux | grep python\""}""}, ""id"": ""y8Ammk2znwhZm60NyeyQM1jmsHxtB8oZ""}}]"
ps_hidden_01,1,shell_powershell,True,1.0,,,6.0422,,"[{""id"": ""JxWx90ifktikbFYs5u7FwxfsDXsDjuqO"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""shell"": ""powershell"", ""command"": ""Get-ChildItem -Path C:\\Temp -Force | Select-Object Name, Attributes, LastWriteTime""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""shell\"":\""powershell\"",\""command\"":\""Get-ChildItem -Path C:\\\\Temp -Force | Select-Object Name, Attributes, LastWriteTime\""}""}, ""id"": ""JxWx90ifktikbFYs5u7FwxfsDXsDjuqO""}}]"
