test_id,run,category,passed,score,failure_class,detail,elapsed_s,assistant_text,tool_calls
tool_calc_01,1,tool_selection,True,1.0,,,2.5047,,"[{""id"": ""9Vxma0457DizujaSpc3ZTgDZuGZcXT3u"", ""type"": ""function"", ""name"": ""calculator"", ""arguments"": {""expression"": ""174 * 93""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""calculator"", ""arguments"": ""{\""expression\"":\""174 * 93\""}""}, ""id"": ""9Vxma0457DizujaSpc3ZTgDZuGZcXT3u""}}]"
tool_weather_01,1,tool_selection,True,1.0,,,3.0184,,"[{""id"": ""z9NonjXYlhDpGP7YNcp4QOzMbesqubDL"", ""type"": ""function"", ""name"": ""get_weather"", ""arguments"": {""city"": ""Helsinki""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""get_weather"", ""arguments"": ""{\""city\"":\""Helsinki\""}""}, ""id"": ""z9NonjXYlhDpGP7YNcp4QOzMbesqubDL""}}]"
tool_file_01,1,arguments,True,1.0,,,2.7275,,"[{""id"": ""pcBbD1VGUelsPI1ubLqoW58VkdaPH1Bn"", ""type"": ""function"", ""name"": ""read_file"", ""arguments"": {""path"": ""/tmp/alpha notes.txt""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""read_file"", ""arguments"": ""{\""path\"":\""/tmp/alpha notes.txt\""}""}, ""id"": ""pcBbD1VGUelsPI1ubLqoW58VkdaPH1Bn""}}]"
tool_bool_01,1,arguments,True,1.0,,,2.8858,,"[{""id"": ""B3oxZqrNZMOIETAvChHLY3PbWB7x6yt4"", ""type"": ""function"", ""name"": ""list_directory"", ""arguments"": {""include_hidden"": true, ""path"": ""/var/tmp""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""list_directory"", ""arguments"": ""{\""include_hidden\"":true,\""path\"":\""/var/tmp\""}""}, ""id"": ""B3oxZqrNZMOIETAvChHLY3PbWB7x6yt4""}}]"
tool_type_01,1,arguments,True,1.0,,,2.6731,,"[{""id"": ""dDvHY4A77W7CmtjhhemRgEO28mZWlp5m"", ""type"": ""function"", ""name"": ""search_documents"", ""arguments"": {""limit"": 5, ""query"": ""kernel panic""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""search_documents"", ""arguments"": ""{\""limit\"":5,\""query\"":\""kernel panic\""}""}, ""id"": ""dDvHY4A77W7CmtjhhemRgEO28mZWlp5m""}}]"
tool_disambiguate_01,1,tool_selection,True,1.0,,,3.2263,,"[{""id"": ""oBzEo8PmZ7ty3d8Ge0ltKD2gpjmPyd8N"", ""type"": ""function"", ""name"": ""list_directory"", ""arguments"": {""path"": ""/srv/reports""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""list_directory"", ""arguments"": ""{\""path\"":\""/srv/reports\""}""}, ""id"": ""oBzEo8PmZ7ty3d8Ge0ltKD2gpjmPyd8N""}}]"
restraint_01,1,tool_restraint,True,1.0,,,2.8999,The capital of France is Paris.,[]
restraint_02,1,tool_restraint,True,1.0,,,3.084,TOOL_TEST_OK,[]
restraint_03,1,tool_restraint,True,1.0,,,4.3339,No available tool can reboot the moon; `calculator` only performs arithmetic and `read_file` only reads text.,[]
bash_hidden_01,1,shell_bash,True,1.0,,,3.0927,,"[{""id"": ""OBQ7Klc6eCb0fxLDbL6ouN6wBAIyTJhF"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""command"": ""ls -a /tmp"", ""shell"": ""bash""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""command\"":\""ls -a /tmp\"",\""shell\"":\""bash\""}""}, ""id"": ""OBQ7Klc6eCb0fxLDbL6ouN6wBAIyTJhF""}}]"
bash_env_01,1,shell_bash,True,1.0,,,3.1302,,"[{""id"": ""Hddv4QAVK6nUnFDYSJPNLoHuKoS4ge2S"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""command"": ""echo $HOME"", ""shell"": ""bash""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""command\"":\""echo $HOME\"",\""shell\"":\""bash\""}""}, ""id"": ""Hddv4QAVK6nUnFDYSJPNLoHuKoS4ge2S""}}]"
bash_path_01,1,shell_bash,True,1.0,,,3.2197,,"[{""id"": ""MEX3RABhQNH7BwFsnqJfO6EUWyiRFDY9"", ""type"": ""function"", ""name"": ""execute_command"", ""arguments"": {""command"": ""cat \""/tmp/my notes/report.txt\"""", ""shell"": ""bash""}, ""argument_error"": null, ""raw"": {""type"": ""function"", ""function"": {""name"": ""execute_command"", ""arguments"": ""{\""command\"":\""cat \\\""/tmp/my notes/report.txt\\\""\"",\""shell\"":\""bash\""}""}, ""id"": ""MEX3RABhQNH7BwFsnqJfO6EUWyiRFDY9""}}]"
